"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RPI_STATUS";"LED_WS2812B-2020_PLCC4_2.0x2.0mm";1;"WS2812B_SK6805_1515";;;
2;"STM_STATUS";"LED_D3.0mm-3";1;"LED_Dual_AKA";;;
3;"IC1";"RP2040-QFN-56";1;"RP2040_QFN56";;;
4;"STM_DEBUG";"JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05_Pin";;;
5;"PWR1";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"Conn_01x03_Pin";;;
6;"J1";"USB_C_Receptacle_GCT_USB4110";1;"USB_C_Receptacle_USB2.0_16P";;;
7;"J2";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"U.FL";;;
8;"BOOT";"SW_SPST_EVQP2_MiddlePushTravel_H2.5mm";1;"BOOT";;;
9;"RESET";"SW_SPST_EVQP2_MiddlePushTravel_H2.5mm";1;"RESET";;;
10;"U$1,U$2,U$3,U$4";"MountingHole_2.5mm_Pad";4;"MOUNTINGHOLE2.5";;;
11;"C12,C18,C15,C16,C22,C5,C4";"C_0805_2012Metric";7;"1uF";;;
12;"C17,C20,C19,C14,C13,C9,C21";"C_0805_2012Metric";7;"0.1uF";;;
13;"U6";"SOIC-16W-12_7.5x10.3mm_P1.27mm";1;"MT25QL01GBBB8ESF-0SIT";;;
14;"R4";"C_0805_2012Metric";1;"10k";;;
15;"U4";"HOPERF_RFM9XW_SMD";1;"RFM95W-915S2";;;
16;"R17,R10,R5,R7";"R_0805_2012Metric";4;"1k";;;
17;"VR1";"VREG_TPSM861253RDXR";1;"TPSM861253RDXR";;;
18;"J3";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
19;"Q1";"SOT-23";1;"DMN3300U";;;
20;"R22,R21";"R_0805_2012Metric";2;"22 ohm";;;
21;"R23,R24";"R_0805_2012Metric";2;"5.1K";;;
22;"U5";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q16JVSS";;;
23;"RPI_DEBUG1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
24;"R3";"C_0805_2012Metric";1;"100k";;;
25;"R1,R6";"R_0805_2012Metric";2;"100";;;
26;"R25,R19,R20,R16";"R_0805_2012Metric";4;"10K";;;
27;"R2,R9,R15";"R_0805_2012Metric";3;"10k";;;
28;"SW1";"SW_SPST_EVQP2_MiddlePushTravel_H2.5mm";1;"STM_RESET";;;
29;"R18";"R_0805_2012Metric";1;"1K";;;
30;"R8";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"0.1";;;
31;"Q2";"SOT-23";1;"FDN360P";;;
32;"D1";"D_SOD-123";1;"1N4148W";;;
33;"R13,R14";"R_0805_2012Metric";2;"150";;;
34;"C7,C8";"C_0805_2012Metric";2;"10pF";;;
35;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32L031F6P6TR";;;
36;"Y2";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering";1;"Crystal";;;
37;"C3,C6,C2";"C_0805_2012Metric";3;"100nF";;;
38;"TPS_C_OUT1";"C_0805_2012Metric";1;"22uF";;;
39;"U1";"TSSOP-14_4.4x5mm_P0.65mm";1;"Opamp_Quad";;;
40;"R12";"R_0805_2012Metric";1;"8.2k";;;
41;"C10,C11";"C_0805_2012Metric";2;"8pF";;;
42;"R11";"R_0805_2012Metric";1;"20k";;;
43;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal";;;
44;"U3";"SOT-89-3_Handsoldering";1;"MCP1700x-120xxMB";;;
45;"TPS_C_IN1";"C_0805_2012Metric";1;"10uF";;;
46;"C1";"C_0805_2012Metric";1;"4.7uF";;;
