Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C13,C14,C17,C19,C20,C21,C9",C_0805_2012Metric,C28233,7
100,"R1,R6",R_0805_2012Metric,C17408,2
100k,R3,C_0805_2012Metric,C25611,1
100nF,"C2,C3,C6",C_0805_2012Metric,C28233,3
10K,"R16,R19,R20,R25",R_0805_2012Metric,C17414,4
10k,"R15,R2,R4,R9",R_0805_2012Metric,C17414,4
10pF,"C7,C8",C_0805_2012Metric,C107107,2
150,"R13,R14",R_0805_2012Metric,C17471,2
1K,R18,R_0805_2012Metric,C17513,1
1N4148W,D2,D_SOD-123,C2128,1
1k,"R10,R17,R5,R7",R_0805_2012Metric,C17513,4
1uF,"C12,C15,C16,C18,C22,C4,C5",C_0805_2012Metric,C28323,7
20k,R11,R_0805_2012Metric,C4328,1
22 ohm,"R21,R22",R_0805_2012Metric,C17561,2
4.7uF,C1,C_0805_2012Metric,C1779,1
8.2k,R12,R_0805_2012Metric,C17828,1
8pF,"C10,C11",C_0805_2012Metric,C1839,2
RP2040_QFN56,IC1,RP2040-QFN-56,C2040,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4110,C5143397,1
W25Q16JVSS,U5,SOIC-8_5.3x5.3mm_P1.27mm,C131025,1
WS2812B-2020,LED1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555,1
MT25QL01GBBB8ESF-0SIT,U6,SOIC-16W-12_7.5x10.3mm_P1.27mm,,1
MOUNTINGHOLE2.5,U$3,MountingHole_2.5mm_Pad,,1
RFM95W-915S2,U4,HOPERF_RFM9XW_SMD,,1
MOUNTINGHOLE2.5,U$2,MountingHole_2.5mm_Pad,,1
Conn_01x03_Pin,J2,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,,1
TPSM861253RDXR,VR1,VREG_TPSM861253RDXR,,1
Conn_02x06_Odd_Even,J6,PinHeader_2x06_P2.54mm_Vertical,,1
MOUNTINGHOLE2.5,U$4,MountingHole_2.5mm_Pad,,1
U.FL,J5,U.FL_Molex_MCRF_73412-0110_Vertical,,1
DMN3300U,Q1,SOT-23,,1
5.1K,R23,R_0805_2012Metric,,1
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,,1
MOUNTINGHOLE2.5,U$1,MountingHole_2.5mm_Pad,,1
STM_RESET,SW1,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
0.1,R8,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,1
FDN360P,Q2,SOT-23,,1
5.1K,R24,R_0805_2012Metric,,1
STM32L031F6P6TR,U2,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Crystal,Y2,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering,,1
Opamp_Quad,U1,TSSOP-14_4.4x5mm_P0.65mm,,1
Crystal,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,,1
MCP1700x-120xxMB,U3,SOT-89-3_Handsoldering,,1
LED_Dual_AKA,D1,LED_D3.0mm-3,,1
Conn_01x05_Pin,J1,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,,1
RESET,RESET,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
BOOT,BOOT,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
