Comment,Designator,Footprint,LCSC,Quantity
1k,R5,R_0805_2012Metric,,1
1uF,C10,C_0805_2012Metric,,1
WS2812B_SK6805_1515,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
0.1uF,C15,C_0805_2012Metric,,1
0.1uF,C18,C_0805_2012Metric,,1
MOUNTINGHOLE2.5,U$3,MountingHole_2.5mm_Pad,,1
RFM95W-915S2,U4,HOPERF_RFM9XW_SMD,,1
MOUNTINGHOLE2.5,U$2,MountingHole_2.5mm_Pad,,1
RP2040_QFN56,IC1,RP2040-QFN-56,,1
1k,R13,R_0805_2012Metric,,1
LED_Dual_AKA,D1,LED_D3.0mm-3,,1
1uF,C16,C_0805_2012Metric,,1
Conn_02x06_Odd_Even,J7,PinHeader_2x06_P2.54mm_Vertical,,1
RESET,SW4,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
MOUNTINGHOLE2.5,U$4,MountingHole_2.5mm_Pad,,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4110,,1
0.1uF,C17,C_0805_2012Metric,,1
U.FL,J5,U.FL_Molex_MCRF_73412-0110_Vertical,,1
22 ohm,R18,R_0805_2012Metric,,1
5.1K,R19,R_0805_2012Metric,,1
TDN_5-0910WISM,U1,Converter_DCDC_TRACO_TDN_5-xxxxWISM_SMD,,1
0.1uF,C12,C_0805_2012Metric,,1
W25Q16JVSS,U7,SOIC-8_5.3x5.3mm_P1.27mm,,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,,1
0.1uF,C11,C_0805_2012Metric,,1
1uF,C13,C_0805_2012Metric,,1
Conn_01x05_Pin,J1,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,,1
BOOT,SW2,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
MOUNTINGHOLE2.5,U$1,MountingHole_2.5mm_Pad,,1
1uF,C14,C_0805_2012Metric,,1
10K,R21,R_0805_2012Metric,,1
22 ohm,R17,R_0805_2012Metric,,1
STM_RESET,SW1,SW_SPST_EVQP2_MiddlePushTravel_H2.5mm,,1
10K,R15,R_0805_2012Metric,,1
1K,R14,R_0805_2012Metric,,1
10K,R16,R_0805_2012Metric,,1
MT25QL01GBBB8ESF-0SIT,U6,SOP-16_4.55x10.3mm_P1.27mm,,1
1uF,C20,C_0805_2012Metric,,1
0.1uF,C7,C_0805_2012Metric,,1
0.1uF,C19,C_0805_2012Metric,,1
10K,R12,R_0805_2012Metric,,1
5.1K,R20,R_0805_2012Metric,,1
1N4148W,D3,D_SOD-123,,1
1k,R8,R_0805_2012Metric,,1
150,R22,R_0805_2012Metric,,1
10pF,C21,C_0805_2012Metric,,1
STM32L031F6P6TR,U3,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Crystal,Y3,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering,,1
100nF,C5,C_0805_2012Metric,,1
10uF,C1,C_0805_2012Metric,,1
Opamp_Quad,U2,TSSOP-14_4.4x5mm_P0.65mm,,1
8.2k,R10,R_0805_2012Metric,,1
10pF,C22,C_0805_2012Metric,,1
22pF,C8,C_0805_2012Metric,,1
100,R1,R_0805_2012Metric,,1
10k,R7,R_0805_2012Metric,,1
20k,R9,R_0805_2012Metric,,1
DMN3300U,Q1,SOT-23,,1
Crystal,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,,1
100,R4,R_0805_2012Metric,,1
MCP1700x-120xxMB,U5,SOT-89-3_Handsoldering,,1
1uF,C23,C_0805_2012Metric,,1
10uF,C2,C_0805_2012Metric,,1
150,R23,R_0805_2012Metric,,1
1k,R3,R_0805_2012Metric,,1
100nF,C6,C_0805_2012Metric,,1
10k,R11,R_0805_2012Metric,,1
4.7uF,C3,C_0805_2012Metric,,1
10k,R2,R_0805_2012Metric,,1
0.1,R6,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,1
1uF,C24,C_0805_2012Metric,,1
100nF,C4,C_0805_2012Metric,,1
22pF,C9,C_0805_2012Metric,,1
Conn_01x03_Pin,J6,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,,1
