Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,28.84,-53.17,180.0,bottom
C10,1uF,C_0805_2012Metric,15.1,-44.708,180.0,top
C11,0.1uF,C_0805_2012Metric,32.4,-39.6,180.0,top
C12,0.1uF,C_0805_2012Metric,31.8,-45.4,90.0,top
C13,1uF,C_0805_2012Metric,28.525,-34.45,90.0,top
C14,1uF,C_0805_2012Metric,15.1,-40.216,180.0,top
C15,0.1uF,C_0805_2012Metric,29.4,-49.8025,-90.0,top
C16,1uF,C_0805_2012Metric,31.55,-49.8,-90.0,top
C17,0.1uF,C_0805_2012Metric,32.4,-41.6,0.0,top
C18,0.1uF,C_0805_2012Metric,23.0,-33.6,90.0,top
C19,0.1uF,C_0805_2012Metric,29.8,-45.4,-90.0,top
C2,10uF,C_0805_2012Metric,28.8,-47.225,180.0,bottom
C20,1uF,C_0805_2012Metric,23.6,-51.2,-90.0,top
C21,10pF,C_0805_2012Metric,43.75,-20.825,180.0,bottom
C22,10pF,C_0805_2012Metric,47.725,-20.825,180.0,bottom
C23,1uF,C_0805_2012Metric,24.25,-24.75,180.0,bottom
C24,1uF,C_0805_2012Metric,34.0,-19.75,270.0,bottom
C3,4.7uF,C_0805_2012Metric,47.73,-26.478333,180.0,bottom
C4,100nF,C_0805_2012Metric,28.95,-28.0,0.0,bottom
C5,100nF,C_0805_2012Metric,47.73,-23.676667,180.0,bottom
C6,100nF,C_0805_2012Metric,37.6,-20.82,270.0,bottom
C7,0.1uF,C_0805_2012Metric,15.1,-42.462,0.0,top
C8,22pF,C_0805_2012Metric,21.25,-36.0,0.0,bottom
C9,22pF,C_0805_2012Metric,27.0,-36.0,0.0,bottom
D1,LED_Dual_AKA,LED_D3.0mm-3,55.2,-40.0,0.0,top
D3,1N4148W,D_SOD-123,33.25,-33.225,0.0,top
IC1,RP2040_QFN56,RP2040-QFN-56,24.4,-41.125,-90.0,top
J1,Conn_01x05_Pin,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,56.05,-67.43375,90.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,55.01,-44.95125,90.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,36.75,-16.585,0.0,top
J5,U.FL,U.FL_Molex_MCRF_73412-0110_Vertical,47.1,-71.25,180.0,top
J6,Conn_01x03_Pin,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,28.875,-78.9125,180.0,top
J7,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,42.17,-79.655,90.0,top
