Comment,Designator,Footprint,LCSC,Quantity
0R,R102,R_0402_1005Metric,C17168,1
100k,R704,R_0402_1005Metric,C25741,1
100n,"C706,C712",C_0402_1005Metric,C1525,2
100nF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,1
100uF,C702,CP_EIA-3528-21_Kemet-B,C122271,1
10k,"R104,R705",R_0402_1005Metric,C25744,2
10u,"C701,C703,C704,C705,C708,C709,C710,C711",C_0805_2012Metric,C15850,8
2.2uH,L701,L_Coilcraft_XAL5030-XXX,C5349681,1
2k2,"R501,R502,R605,R606,R706,R707",R_0402_1005Metric,C25879,6
4.7nF,C707,C_0402_1005Metric,C106208,1
470,C1,CP_Elec_6.3x7.7,C2827940,1
4u7,C601,C_0805_2012Metric,C1779,1
5.1K,"R20,R21",C_0402_1005Metric,C25905,2
AP22653W6,U701,SOT-23-6,C2158037,1
AP3441SHE-7B,U702,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,C2072094,1
ASEK-32.768KHZ-L-R-T,U703,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2650753,1
Bus_M.2_Socket_M,J701,M.2 M Key socket_2230_2242,C841666,1
ComputeModule5-CM5,"J101,J102",Raspberry-Pi-5-Compute-Module_GPIO,C6782225,2
GPIO1,J1,IDC-Header_2x06_P2.54mm_Vertical,C9136,1
GREEN,"D605,D606,D702",LED-SMD_L1.7-W0.6-RD,C2286,3
I2C,J502,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160390,1
MK-11C04-G013,SW101,SW-SMD_MK-11C04-G013,C778185,1
RCLAMP0502BA,"D502,D701",SOT-416,C117553,2
SM02B-SRSS-TB (LF)(SN),CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,C160402,1
SN74LVC1G14DBVR,U602,SOT-353_SC-70-5,C35740,1
SPI,J503,JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,C265443,1
TS-1010A-B,SW501,SW-SMD_TS-1010A-B,C381059,1
USB_C_Receptacle_USB2.0_16P,J5,USB_C_Receptacle_G-Switch_GT-USB-7051x,C2843970,1
M.2 Solder Nut,M702,MountingHole_3mm_Pad,,1
PWR,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
15k,R3,R_0402_1005Metric,,1
